model,dataset,text_id,magnitude,cosine_similarity
gpt2,g1c,3,185.66719,0.9681047
gpt2,g1c,4,190.86966,0.97572124
gpt2,g1c,5,195.57268,0.9614439
gpt2,g1c,6,194.92604,0.97177124
gpt2,g1c,7,203.16202,0.9573257
gpt2,g1c,8,199.04887,0.9677088
gpt2,g1c,9,185.66719,0.9681047
gpt2,g1c,10,171.30676,0.9126697
gpt2,g1c,11,195.81728,0.930709
gpt2,g1c,12,212.03471,0.9054683
gpt2,g1c,13,171.30676,0.9126697
gpt2,g1c,14,181.09686,0.9247434
gpt2,g1c,15,195.81728,0.930709
gpt2,g1c,16,193.45795,0.9763588
gpt2,g1c,17,203.16202,0.9573257
gpt2,g1c,18,190.86966,0.97572124
gpt2,g1c,19,185.66719,0.9681047
gpt2,g1c,20,212.03471,0.9054683
gpt2,g1c,21,193.45795,0.9763588
gpt2,g1c,22,199.04887,0.9677088
gpt2,g1c,23,199.04887,0.9677088
gpt2,g1c,24,194.92604,0.97177124
gpt2,g1c,25,194.7206,0.9642315
gpt2,g1c,26,146.94182,0.7513343
gpt2,g1c,27,189.3333,0.9759847
gpt2,g1c,28,184.44739,0.97660846
gpt2,g1c,29,194.00748,0.8526785
gpt2,g1c,30,192.49287,0.9756811
gpt2,g1c,31,179.64882,0.972657
gpt2,g1c,32,179.64882,0.972657
gpt2,g1c,33,171.47493,0.96847904
gpt2,g1c,34,185.60506,0.9621243
gpt2,g1c,35,181.2002,0.7942791
gpt2,g1c,36,190.14513,0.96916723
gpt2,g1c,37,176.2897,0.9465268
gpt2,g1c,38,189.3333,0.9759847
gpt2,g1c,39,171.47493,0.96847904
gpt2,g1c,40,182.19841,0.9757829
gpt2,g1c,41,203.06601,0.9711773
gpt2,g1c,42,166.85522,0.8923114
gpt2,g1c,43,178.65057,0.9676669
gpt2,g1c,44,197.67374,0.9692394
gpt2,g1c,45,194.0465,0.87339586
gpt2,g1c,46,188.4967,0.93182015
gpt2,g1c,47,214.857,0.944288
gpt2,g1c,48,193.79987,0.9361312
gpt2,g1c,49,185.11226,0.9760827
gpt2,g1c,50,185.60506,0.9621243
gpt2,g1c,51,205.42763,0.7181768
gpt2,g1c,52,192.49287,0.9756811
gpt2,g1c,53,176.2897,0.9465268
gpt2,g1c,54,196.05356,0.94551015
gpt2,g1c,55,166.85522,0.8923114
gpt2,g1c,56,194.00748,0.8526785
gpt2,g1c,57,188.4967,0.93182015
gpt2,g1c,58,186.30298,0.97281
gpt2,g1c,59,146.94182,0.7513343
gpt2,g1c,60,188.54332,0.966701
gpt2,g1c,61,181.766,0.96182865
gpt2,g1c,62,181.766,0.96182865
gpt2,g1c,63,187.98636,0.97902006
gpt2,g1c,64,204.1066,0.8418329
gpt2,g1c,65,179.42915,0.9667768
gpt2,g1c,66,182.19841,0.9757829
gpt2,g1c,67,178.65057,0.9676669
gpt2,g1c,68,181.2002,0.7942791
gpt2,g1c,69,207.63858,0.96572095
gpt2,g1c,70,190.14513,0.96916723
gpt2,g1c,71,187.98636,0.97902006
gpt2,g1c,72,187.50772,0.8748083
gpt2,g1c,73,200.03946,0.9771915
gpt2,g1c,74,197.67374,0.9692394
gpt2,g1c,75,185.11226,0.9760827
gpt2,g1c,76,200.03946,0.9771915
gpt2,g1c,77,178.65057,0.9676669
gpt2,g1c,78,178.84727,0.9395088
gpt2,g1c,79,179.42915,0.9667768
gpt2,g1c,80,186.30298,0.97281
gpt2,g1c,81,184.48099,0.97505957
gpt2,g1c,82,214.857,0.944288
gpt2,g1c,83,184.48099,0.97505957
gpt2,g1c,84,196.05356,0.94551015
gpt2,g1c,85,187.50772,0.8748083
gpt2,g1c,86,207.63858,0.96572095
gpt2,g1c,87,185.1037,0.971596
gpt2,g1c,88,178.84727,0.9395088
gpt2,g1c,89,181.2002,0.7942791
gpt2,g1c,90,193.79987,0.9361312
gpt2,g1c,91,203.06601,0.9711773
gpt2,g1c,92,185.1037,0.971596
gpt2,g1c,93,184.44739,0.97660846
gpt2,g1c,94,194.0465,0.87339586
gpt2,g1c,95,185.11226,0.9760827
gpt2,g1c,96,196.05356,0.94551015
gpt2,g1c,97,188.54332,0.966701
gpt2,g1c,98,171.99652,0.6633158
gpt2,g1c,99,193.40523,0.9779687
gpt2,g1c,100,203.50143,0.9799843
gpt2,g1c,101,189.94861,0.9247315
gpt2,g1c,102,179.4981,0.934424
gpt2,g1c,103,180.92677,0.8332593
gpt2,g1c,104,195.04735,0.76696104
gpt2,g1c,105,194.66599,0.9675408
gpt2,g1c,106,192.80927,0.9398718
gpt2,g1c,107,191.76572,0.9741261
gpt2,g1c,108,196.7248,0.97560704
gpt2,g1c,109,192.80927,0.9398718
gpt2,g1c,110,174.5156,0.93934935
gpt2,g1c,111,206.72499,0.9511215
gpt2,g1c,112,189.16127,0.9473718
gpt2,g1c,113,193.38919,0.9771181
gpt2,g1c,114,193.38919,0.9771181
gpt2,g1c,115,213.37985,0.97121364
gpt2,g1c,116,199.04561,0.9792745
